Time,Large Hydro,Small Hydro
2023-06-01 00:00:00-07:00,4586,397
2023-06-01 00:05:00-07:00,4284,397
2023-06-01 00:10:00-07:00,4151,408
2023-06-01 00:15:00-07:00,4133,408
2023-06-01 00:20:00-07:00,4053,407
2023-06-01 00:25:00-07:00,4047,409
2023-06-01 00:30:00-07:00,4043,408
2023-06-01 00:35:00-07:00,4045,408
2023-06-01 00:40:00-07:00,4047,408
2023-06-01 00:45:00-07:00,4044,407
2023-06-01 00:50:00-07:00,4046,408
2023-06-01 00:55:00-07:00,4059,408
2023-06-01 01:00:00-07:00,4059,408
2023-06-01 01:05:00-07:00,4070,408
2023-06-01 01:10:00-07:00,4030,409
2023-06-01 01:15:00-07:00,4034,407
2023-06-01 01:20:00-07:00,4046,408
2023-06-01 01:25:00-07:00,4036,407
2023-06-01 01:30:00-07:00,3986,407
2023-06-01 01:35:00-07:00,3946,406
2023-06-01 01:40:00-07:00,3937,404
2023-06-01 01:45:00-07:00,4022,405
2023-06-01 01:50:00-07:00,4038,406
2023-06-01 01:55:00-07:00,4018,407
2023-06-01 02:00:00-07:00,3942,407
2023-06-01 02:05:00-07:00,3799,406
2023-06-01 02:10:00-07:00,3755,408
2023-06-01 02:15:00-07:00,3750,407
2023-06-01 02:20:00-07:00,3743,407
2023-06-01 02:25:00-07:00,3741,406
2023-06-01 02:30:00-07:00,3741,406
2023-06-01 02:35:00-07:00,3749,407
2023-06-01 02:40:00-07:00,3750,407
2023-06-01 02:45:00-07:00,3750,407
2023-06-01 02:50:00-07:00,3752,406
2023-06-01 02:55:00-07:00,3736,406
2023-06-01 03:00:00-07:00,3566,407
2023-06-01 03:05:00-07:00,3527,409
2023-06-01 03:10:00-07:00,3535,408
2023-06-01 03:15:00-07:00,3532,409
2023-06-01 03:20:00-07:00,3530,409
2023-06-01 03:25:00-07:00,3523,409
2023-06-01 03:30:00-07:00,3526,408
2023-06-01 03:35:00-07:00,3526,409
2023-06-01 03:40:00-07:00,3524,409
2023-06-01 03:45:00-07:00,3513,408
2023-06-01 03:50:00-07:00,3510,408
2023-06-01 03:55:00-07:00,3512,407
2023-06-01 04:00:00-07:00,3526,406
2023-06-01 04:05:00-07:00,3521,408
2023-06-01 04:10:00-07:00,3519,408
2023-06-01 04:15:00-07:00,3519,408
2023-06-01 04:20:00-07:00,3525,407
2023-06-01 04:25:00-07:00,3515,408
2023-06-01 04:30:00-07:00,3517,407
2023-06-01 04:35:00-07:00,3516,407
2023-06-01 04:40:00-07:00,3517,407
2023-06-01 04:45:00-07:00,3521,408
2023-06-01 04:50:00-07:00,3523,408
2023-06-01 04:55:00-07:00,3525,407
2023-06-01 05:00:00-07:00,3520,407
2023-06-01 05:05:00-07:00,3517,407
2023-06-01 05:10:00-07:00,3542,406
2023-06-01 05:15:00-07:00,3809,407
2023-06-01 05:20:00-07:00,3861,406
2023-06-01 05:25:00-07:00,3870,406
2023-06-01 05:30:00-07:00,3869,407
2023-06-01 05:35:00-07:00,3866,406
2023-06-01 05:40:00-07:00,3870,406
2023-06-01 05:45:00-07:00,3867,407
2023-06-01 05:50:00-07:00,3862,406
2023-06-01 05:55:00-07:00,3860,407
2023-06-01 06:00:00-07:00,3847,407
2023-06-01 06:05:00-07:00,3805,407
2023-06-01 06:10:00-07:00,3798,408
2023-06-01 06:15:00-07:00,3800,407
2023-06-01 06:20:00-07:00,3790,407
2023-06-01 06:25:00-07:00,3794,407
2023-06-01 06:30:00-07:00,3765,408
2023-06-01 06:35:00-07:00,3759,408
2023-06-01 06:40:00-07:00,3751,407
2023-06-01 06:45:00-07:00,3748,406
2023-06-01 06:50:00-07:00,3746,407
2023-06-01 06:55:00-07:00,3650,408
2023-06-01 07:00:00-07:00,3456,408
2023-06-01 07:05:00-07:00,3178,408
2023-06-01 07:10:00-07:00,3105,410
2023-06-01 07:15:00-07:00,3115,408
2023-06-01 07:20:00-07:00,3142,406
2023-06-01 07:25:00-07:00,3129,407
2023-06-01 07:30:00-07:00,3118,405
2023-06-01 07:35:00-07:00,3102,406
2023-06-01 07:40:00-07:00,2969,405
2023-06-01 07:45:00-07:00,3093,405
2023-06-01 07:50:00-07:00,3058,405
2023-06-01 07:55:00-07:00,3006,404
2023-06-01 08:00:00-07:00,2993,399
2023-06-01 08:05:00-07:00,3006,391
2023-06-01 08:10:00-07:00,2822,380
2023-06-01 08:15:00-07:00,2726,360
2023-06-01 08:20:00-07:00,2719,353
2023-06-01 08:25:00-07:00,2689,353
2023-06-01 08:30:00-07:00,2690,353
2023-06-01 08:35:00-07:00,2494,353
2023-06-01 08:40:00-07:00,2509,352
2023-06-01 08:45:00-07:00,2506,351
2023-06-01 08:50:00-07:00,2498,352
2023-06-01 08:55:00-07:00,2475,351
2023-06-01 09:00:00-07:00,2393,352
2023-06-01 09:05:00-07:00,2292,347
2023-06-01 09:10:00-07:00,2262,344
2023-06-01 09:15:00-07:00,2225,343
2023-06-01 09:20:00-07:00,2228,343
2023-06-01 09:25:00-07:00,2229,343
2023-06-01 09:30:00-07:00,2226,342
2023-06-01 09:35:00-07:00,2228,342
2023-06-01 09:40:00-07:00,2233,342
2023-06-01 09:45:00-07:00,2225,342
2023-06-01 09:50:00-07:00,2255,340
2023-06-01 09:55:00-07:00,2279,333
2023-06-01 10:00:00-07:00,2262,332
2023-06-01 10:05:00-07:00,2247,332
2023-06-01 10:10:00-07:00,2277,332
2023-06-01 10:15:00-07:00,2325,332
2023-06-01 10:20:00-07:00,2327,333
2023-06-01 10:25:00-07:00,2331,333
2023-06-01 10:30:00-07:00,2338,333
2023-06-01 10:35:00-07:00,2335,334
2023-06-01 10:40:00-07:00,2335,334
2023-06-01 10:45:00-07:00,2315,333
2023-06-01 10:50:00-07:00,2292,333
2023-06-01 10:55:00-07:00,2289,333
2023-06-01 11:00:00-07:00,2261,333
2023-06-01 11:05:00-07:00,2215,333
2023-06-01 11:10:00-07:00,2196,332
2023-06-01 11:15:00-07:00,2186,333
2023-06-01 11:20:00-07:00,2187,332
2023-06-01 11:25:00-07:00,2183,332
2023-06-01 11:30:00-07:00,2171,332
2023-06-01 11:35:00-07:00,2150,332
2023-06-01 11:40:00-07:00,2148,332
2023-06-01 11:45:00-07:00,2155,332
2023-06-01 11:50:00-07:00,2161,333
2023-06-01 11:55:00-07:00,2161,333
2023-06-01 12:00:00-07:00,2132,334
2023-06-01 12:05:00-07:00,2080,334
2023-06-01 12:10:00-07:00,2077,332
2023-06-01 12:15:00-07:00,2091,333
2023-06-01 12:20:00-07:00,2131,332
2023-06-01 12:25:00-07:00,2169,332
2023-06-01 12:30:00-07:00,2175,332
2023-06-01 12:35:00-07:00,2174,333
2023-06-01 12:40:00-07:00,2171,332
2023-06-01 12:45:00-07:00,2166,333
2023-06-01 12:50:00-07:00,2170,332
2023-06-01 12:55:00-07:00,2173,331
2023-06-01 13:00:00-07:00,2138,332
2023-06-01 13:05:00-07:00,2164,332
2023-06-01 13:10:00-07:00,2204,331
2023-06-01 13:15:00-07:00,2223,333
2023-06-01 13:20:00-07:00,2240,333
2023-06-01 13:25:00-07:00,2233,334
2023-06-01 13:30:00-07:00,2227,333
2023-06-01 13:35:00-07:00,2229,333
2023-06-01 13:40:00-07:00,2230,332
2023-06-01 13:45:00-07:00,2190,333
2023-06-01 13:50:00-07:00,2143,334
2023-06-01 13:55:00-07:00,2086,334
2023-06-01 14:00:00-07:00,2041,333
2023-06-01 14:05:00-07:00,2041,332
2023-06-01 14:10:00-07:00,2050,333
2023-06-01 14:15:00-07:00,2017,335
2023-06-01 14:20:00-07:00,2041,339
2023-06-01 14:25:00-07:00,2041,350
2023-06-01 14:30:00-07:00,2025,349
2023-06-01 14:35:00-07:00,2017,349
2023-06-01 14:40:00-07:00,2020,349
2023-06-01 14:45:00-07:00,2019,348
2023-06-01 14:50:00-07:00,2032,348
2023-06-01 14:55:00-07:00,2049,347
2023-06-01 15:00:00-07:00,2096,347
2023-06-01 15:05:00-07:00,2181,347
2023-06-01 15:10:00-07:00,2234,352
2023-06-01 15:15:00-07:00,2262,356
2023-06-01 15:20:00-07:00,2274,357
2023-06-01 15:25:00-07:00,2239,356
2023-06-01 15:30:00-07:00,2246,355
2023-06-01 15:35:00-07:00,2248,355
2023-06-01 15:40:00-07:00,2256,354
2023-06-01 15:45:00-07:00,2270,354
2023-06-01 15:50:00-07:00,2303,356
2023-06-01 15:55:00-07:00,2290,356
2023-06-01 16:00:00-07:00,2328,354
2023-06-01 16:05:00-07:00,2374,355
2023-06-01 16:10:00-07:00,2380,354
2023-06-01 16:15:00-07:00,2391,357
2023-06-01 16:20:00-07:00,2383,363
2023-06-01 16:25:00-07:00,2415,366
2023-06-01 16:30:00-07:00,2423,363
2023-06-01 16:35:00-07:00,2434,358
2023-06-01 16:40:00-07:00,2440,356
2023-06-01 16:45:00-07:00,2446,356
2023-06-01 16:50:00-07:00,2442,356
2023-06-01 16:55:00-07:00,2466,354
2023-06-01 17:00:00-07:00,2501,354
2023-06-01 17:05:00-07:00,2590,355
2023-06-01 17:10:00-07:00,2505,368
2023-06-01 17:15:00-07:00,2498,367
2023-06-01 17:20:00-07:00,2460,369
2023-06-01 17:25:00-07:00,2456,378
2023-06-01 17:30:00-07:00,2571,379
2023-06-01 17:35:00-07:00,2779,379
2023-06-01 17:40:00-07:00,2970,380
2023-06-01 17:45:00-07:00,3032,379
2023-06-01 17:50:00-07:00,3353,378
2023-06-01 17:55:00-07:00,3415,378
2023-06-01 18:00:00-07:00,3574,397
2023-06-01 18:05:00-07:00,3808,411
2023-06-01 18:10:00-07:00,4020,414
2023-06-01 18:15:00-07:00,4040,414
2023-06-01 18:20:00-07:00,4041,414
2023-06-01 18:25:00-07:00,4047,415
2023-06-01 18:30:00-07:00,4033,416
2023-06-01 18:35:00-07:00,4027,416
2023-06-01 18:40:00-07:00,4031,416
2023-06-01 18:45:00-07:00,4029,416
2023-06-01 18:50:00-07:00,4027,416
2023-06-01 18:55:00-07:00,4048,415
2023-06-01 19:00:00-07:00,4148,415
2023-06-01 19:05:00-07:00,4467,416
2023-06-01 19:10:00-07:00,5133,416
2023-06-01 19:15:00-07:00,5374,416
2023-06-01 19:20:00-07:00,5429,416
2023-06-01 19:25:00-07:00,5444,415
2023-06-01 19:30:00-07:00,5476,414
2023-06-01 19:35:00-07:00,5475,413
2023-06-01 19:40:00-07:00,5505,413
2023-06-01 19:45:00-07:00,5510,413
2023-06-01 19:50:00-07:00,5509,413
2023-06-01 19:55:00-07:00,5495,414
2023-06-01 20:00:00-07:00,5485,414
2023-06-01 20:05:00-07:00,5403,415
2023-06-01 20:10:00-07:00,5414,415
2023-06-01 20:15:00-07:00,5450,416
2023-06-01 20:20:00-07:00,5427,416
2023-06-01 20:25:00-07:00,5391,415
2023-06-01 20:30:00-07:00,5366,415
2023-06-01 20:35:00-07:00,5392,415
2023-06-01 20:40:00-07:00,5384,415
2023-06-01 20:45:00-07:00,5330,415
2023-06-01 20:50:00-07:00,5321,415
2023-06-01 20:55:00-07:00,5289,415
2023-06-01 21:00:00-07:00,5285,415
2023-06-01 21:05:00-07:00,5314,415
2023-06-01 21:10:00-07:00,5335,416
2023-06-01 21:15:00-07:00,5352,414
2023-06-01 21:20:00-07:00,5353,415
2023-06-01 21:25:00-07:00,5323,415
2023-06-01 21:30:00-07:00,5299,415
2023-06-01 21:35:00-07:00,5279,416
2023-06-01 21:40:00-07:00,5292,415
2023-06-01 21:45:00-07:00,5339,415
2023-06-01 21:50:00-07:00,5337,415
2023-06-01 21:55:00-07:00,5324,414
2023-06-01 22:00:00-07:00,5268,414
2023-06-01 22:05:00-07:00,5136,415
2023-06-01 22:10:00-07:00,5062,415
2023-06-01 22:15:00-07:00,5040,415
2023-06-01 22:20:00-07:00,5044,414
2023-06-01 22:25:00-07:00,5051,414
2023-06-01 22:30:00-07:00,5057,414
2023-06-01 22:35:00-07:00,5060,415
2023-06-01 22:40:00-07:00,5038,415
2023-06-01 22:45:00-07:00,5059,415
2023-06-01 22:50:00-07:00,5061,415
2023-06-01 22:55:00-07:00,5042,417
2023-06-01 23:00:00-07:00,5027,416
2023-06-01 23:05:00-07:00,4946,415
2023-06-01 23:10:00-07:00,4875,417
2023-06-01 23:15:00-07:00,4865,416
2023-06-01 23:20:00-07:00,4871,416
2023-06-01 23:25:00-07:00,4868,417
2023-06-01 23:30:00-07:00,4860,416
2023-06-01 23:35:00-07:00,4856,416
2023-06-01 23:40:00-07:00,4853,415
2023-06-01 23:45:00-07:00,4860,415
2023-06-01 23:50:00-07:00,4860,415
2023-06-01 23:55:00-07:00,4841,415
2023-06-02 00:00:00-07:00,4695,418
2023-06-02 00:05:00-07:00,4438,419
2023-06-02 00:10:00-07:00,4324,422
2023-06-02 00:15:00-07:00,4319,423
2023-06-02 00:20:00-07:00,4321,422
2023-06-02 00:25:00-07:00,4325,419
2023-06-02 00:30:00-07:00,4318,415
2023-06-02 00:35:00-07:00,4309,414
2023-06-02 00:40:00-07:00,4301,413
2023-06-02 00:45:00-07:00,4303,413
2023-06-02 00:50:00-07:00,4311,413
2023-06-02 00:55:00-07:00,4306,413
2023-06-02 01:00:00-07:00,4312,413
2023-06-02 01:05:00-07:00,4289,413
2023-06-02 01:10:00-07:00,4277,415
2023-06-02 01:15:00-07:00,4272,416
2023-06-02 01:20:00-07:00,4271,415
2023-06-02 01:25:00-07:00,4269,416
2023-06-02 01:30:00-07:00,4274,415
2023-06-02 01:35:00-07:00,4273,415
2023-06-02 01:40:00-07:00,4269,414
2023-06-02 01:45:00-07:00,4277,414
2023-06-02 01:50:00-07:00,4265,415
2023-06-02 01:55:00-07:00,4230,415
2023-06-02 02:00:00-07:00,4245,414
2023-06-02 02:05:00-07:00,4290,414
2023-06-02 02:10:00-07:00,4302,414
2023-06-02 02:15:00-07:00,4301,414
2023-06-02 02:20:00-07:00,4297,414
2023-06-02 02:25:00-07:00,4299,416
2023-06-02 02:30:00-07:00,4286,416
2023-06-02 02:35:00-07:00,4289,416
2023-06-02 02:40:00-07:00,4301,416
2023-06-02 02:45:00-07:00,4238,416
2023-06-02 02:50:00-07:00,4196,416
2023-06-02 02:55:00-07:00,4195,416
2023-06-02 03:00:00-07:00,4161,416
