time,hub,price
2024-06-01 00:00:00-07:00,TH_NP15_GEN-APND,27.8318
2024-06-01 00:00:00-07:00,TH_SP15_GEN-APND,27.89488
2024-06-01 00:00:00-07:00,TH_ZP26_GEN-APND,28.00467
2024-06-01 01:00:00-07:00,TH_NP15_GEN-APND,25.3563
2024-06-01 01:00:00-07:00,TH_SP15_GEN-APND,25.49962
2024-06-01 01:00:00-07:00,TH_ZP26_GEN-APND,25.68797
2024-06-01 02:00:00-07:00,TH_NP15_GEN-APND,25.48918
2024-06-01 02:00:00-07:00,TH_SP15_GEN-APND,25.59794
2024-06-01 02:00:00-07:00,TH_ZP26_GEN-APND,25.80886
2024-06-01 03:00:00-07:00,TH_NP15_GEN-APND,25.74397
2024-06-01 03:00:00-07:00,TH_SP15_GEN-APND,25.90925
2024-06-01 03:00:00-07:00,TH_ZP26_GEN-APND,26.10004
2024-06-01 04:00:00-07:00,TH_NP15_GEN-APND,22.48524
2024-06-01 04:00:00-07:00,TH_SP15_GEN-APND,22.51737
2024-06-01 04:00:00-07:00,TH_ZP26_GEN-APND,22.65807
2024-06-01 05:00:00-07:00,TH_NP15_GEN-APND,26.24991
2024-06-01 05:00:00-07:00,TH_SP15_GEN-APND,26.43142
2024-06-01 05:00:00-07:00,TH_ZP26_GEN-APND,26.59303
2024-06-01 06:00:00-07:00,TH_NP15_GEN-APND,16.64979
2024-06-01 06:00:00-07:00,TH_SP15_GEN-APND,14.95105
2024-06-01 06:00:00-07:00,TH_ZP26_GEN-APND,16.53842
2024-06-01 07:00:00-07:00,TH_NP15_GEN-APND,1.99243
2024-06-01 07:00:00-07:00,TH_SP15_GEN-APND,-5.71167
2024-06-01 07:00:00-07:00,TH_ZP26_GEN-APND,-6.75647
2024-06-01 08:00:00-07:00,TH_NP15_GEN-APND,-2.72635
2024-06-01 08:00:00-07:00,TH_SP15_GEN-APND,-19.61397
2024-06-01 08:00:00-07:00,TH_ZP26_GEN-APND,-22.18536
2024-06-01 09:00:00-07:00,TH_NP15_GEN-APND,-6.91195
2024-06-01 09:00:00-07:00,TH_SP15_GEN-APND,-22.99588
2024-06-01 09:00:00-07:00,TH_ZP26_GEN-APND,-25.95142
2024-06-01 10:00:00-07:00,TH_NP15_GEN-APND,-9.8
2024-06-01 10:00:00-07:00,TH_SP15_GEN-APND,-23.00542
2024-06-01 10:00:00-07:00,TH_ZP26_GEN-APND,-25.69054
2024-06-01 11:00:00-07:00,TH_NP15_GEN-APND,-14.13
2024-06-01 11:00:00-07:00,TH_SP15_GEN-APND,-23.59504
2024-06-01 11:00:00-07:00,TH_ZP26_GEN-APND,-26.3398
2024-06-01 12:00:00-07:00,TH_NP15_GEN-APND,-15.99136
2024-06-01 12:00:00-07:00,TH_SP15_GEN-APND,-24.48519
2024-06-01 12:00:00-07:00,TH_ZP26_GEN-APND,-26.8871
2024-06-01 13:00:00-07:00,TH_NP15_GEN-APND,-11.57459
2024-06-01 13:00:00-07:00,TH_SP15_GEN-APND,-25.64134
2024-06-01 13:00:00-07:00,TH_ZP26_GEN-APND,-28.44878
2024-06-01 14:00:00-07:00,TH_NP15_GEN-APND,-12.04682
2024-06-01 14:00:00-07:00,TH_SP15_GEN-APND,-24.43594
2024-06-01 14:00:00-07:00,TH_ZP26_GEN-APND,-27.51048
2024-06-01 15:00:00-07:00,TH_NP15_GEN-APND,-6.38789
2024-06-01 15:00:00-07:00,TH_SP15_GEN-APND,-23.93828
2024-06-01 15:00:00-07:00,TH_ZP26_GEN-APND,-27.07655
2024-06-01 16:00:00-07:00,TH_NP15_GEN-APND,1.70328
2024-06-01 16:00:00-07:00,TH_SP15_GEN-APND,-23.50652
2024-06-01 16:00:00-07:00,TH_ZP26_GEN-APND,-28.9462
2024-06-01 17:00:00-07:00,TH_NP15_GEN-APND,10.34198
2024-06-01 17:00:00-07:00,TH_SP15_GEN-APND,-12.77503
2024-06-01 17:00:00-07:00,TH_ZP26_GEN-APND,-16.39652
2024-06-01 18:00:00-07:00,TH_NP15_GEN-APND,13.41024
2024-06-01 18:00:00-07:00,TH_SP15_GEN-APND,10.18313
2024-06-01 18:00:00-07:00,TH_ZP26_GEN-APND,11.26943
2024-06-01 19:00:00-07:00,TH_NP15_GEN-APND,27.95307
2024-06-01 19:00:00-07:00,TH_SP15_GEN-APND,27.91006
2024-06-01 19:00:00-07:00,TH_ZP26_GEN-APND,28.39343
2024-06-01 20:00:00-07:00,TH_NP15_GEN-APND,36.39492
2024-06-01 20:00:00-07:00,TH_SP15_GEN-APND,36.75299
2024-06-01 20:00:00-07:00,TH_ZP26_GEN-APND,37.8447
2024-06-01 21:00:00-07:00,TH_NP15_GEN-APND,34.05728
2024-06-01 21:00:00-07:00,TH_SP15_GEN-APND,35.14436
2024-06-01 21:00:00-07:00,TH_ZP26_GEN-APND,35.87264
2024-06-01 22:00:00-07:00,TH_NP15_GEN-APND,22.64794
2024-06-01 22:00:00-07:00,TH_SP15_GEN-APND,23.5954
2024-06-01 22:00:00-07:00,TH_ZP26_GEN-APND,23.6329
2024-06-01 23:00:00-07:00,TH_NP15_GEN-APND,22.24296
2024-06-01 23:00:00-07:00,TH_SP15_GEN-APND,22.72318
2024-06-01 23:00:00-07:00,TH_ZP26_GEN-APND,22.86411
2024-06-02 00:00:00-07:00,TH_NP15_GEN-APND,26.32272
2024-06-02 00:00:00-07:00,TH_SP15_GEN-APND,27.17192
2024-06-02 00:00:00-07:00,TH_ZP26_GEN-APND,27.49048
2024-06-02 01:00:00-07:00,TH_NP15_GEN-APND,25.91985
2024-06-02 01:00:00-07:00,TH_SP15_GEN-APND,26.736
2024-06-02 01:00:00-07:00,TH_ZP26_GEN-APND,26.86952
2024-06-02 02:00:00-07:00,TH_NP15_GEN-APND,22.41754
2024-06-02 02:00:00-07:00,TH_SP15_GEN-APND,23.24821
2024-06-02 02:00:00-07:00,TH_ZP26_GEN-APND,23.16653
2024-06-02 03:00:00-07:00,TH_NP15_GEN-APND,19.43949
2024-06-02 03:00:00-07:00,TH_SP15_GEN-APND,20.0
2024-06-02 03:00:00-07:00,TH_ZP26_GEN-APND,19.88299
2024-06-02 04:00:00-07:00,TH_NP15_GEN-APND,19.7559
2024-06-02 04:00:00-07:00,TH_SP15_GEN-APND,20.4
2024-06-02 04:00:00-07:00,TH_ZP26_GEN-APND,20.289
2024-06-02 05:00:00-07:00,TH_NP15_GEN-APND,18.68885
2024-06-02 05:00:00-07:00,TH_SP15_GEN-APND,19.00471
2024-06-02 05:00:00-07:00,TH_ZP26_GEN-APND,18.94384
2024-06-02 06:00:00-07:00,TH_NP15_GEN-APND,8.55836
2024-06-02 06:00:00-07:00,TH_SP15_GEN-APND,5.30619
2024-06-02 06:00:00-07:00,TH_ZP26_GEN-APND,4.95235
2024-06-02 07:00:00-07:00,TH_NP15_GEN-APND,-4.13935
2024-06-02 07:00:00-07:00,TH_SP15_GEN-APND,-17.51707
2024-06-02 07:00:00-07:00,TH_ZP26_GEN-APND,-19.08465
2024-06-02 08:00:00-07:00,TH_NP15_GEN-APND,0.88772
2024-06-02 08:00:00-07:00,TH_SP15_GEN-APND,-35.97155
2024-06-02 08:00:00-07:00,TH_ZP26_GEN-APND,-38.84785
2024-06-02 09:00:00-07:00,TH_NP15_GEN-APND,-0.76411
2024-06-02 09:00:00-07:00,TH_SP15_GEN-APND,-38.54578
2024-06-02 09:00:00-07:00,TH_ZP26_GEN-APND,-41.53132
2024-06-02 10:00:00-07:00,TH_NP15_GEN-APND,-2.57195
2024-06-02 10:00:00-07:00,TH_SP15_GEN-APND,-37.69212
2024-06-02 10:00:00-07:00,TH_ZP26_GEN-APND,-40.22253
2024-06-02 11:00:00-07:00,TH_NP15_GEN-APND,-4.4277
2024-06-02 11:00:00-07:00,TH_SP15_GEN-APND,-37.01676
2024-06-02 11:00:00-07:00,TH_ZP26_GEN-APND,-39.33758
2024-06-02 12:00:00-07:00,TH_NP15_GEN-APND,-7.96864
2024-06-02 12:00:00-07:00,TH_SP15_GEN-APND,-37.52632
2024-06-02 12:00:00-07:00,TH_ZP26_GEN-APND,-39.58057
2024-06-02 13:00:00-07:00,TH_NP15_GEN-APND,0.0
2024-06-02 13:00:00-07:00,TH_SP15_GEN-APND,-37.03031
2024-06-02 13:00:00-07:00,TH_ZP26_GEN-APND,-39.63403
2024-06-02 14:00:00-07:00,TH_NP15_GEN-APND,3.11971
2024-06-02 14:00:00-07:00,TH_SP15_GEN-APND,-37.33592
2024-06-02 14:00:00-07:00,TH_ZP26_GEN-APND,-40.52409
2024-06-02 15:00:00-07:00,TH_NP15_GEN-APND,10.15876
2024-06-02 15:00:00-07:00,TH_SP15_GEN-APND,-36.35527
2024-06-02 15:00:00-07:00,TH_ZP26_GEN-APND,-39.79773
2024-06-02 16:00:00-07:00,TH_NP15_GEN-APND,16.54912
2024-06-02 16:00:00-07:00,TH_SP15_GEN-APND,-25.03723
2024-06-02 16:00:00-07:00,TH_ZP26_GEN-APND,-28.83301
2024-06-02 17:00:00-07:00,TH_NP15_GEN-APND,16.67233
2024-06-02 17:00:00-07:00,TH_SP15_GEN-APND,-6.70806
2024-06-02 17:00:00-07:00,TH_ZP26_GEN-APND,-9.4512
2024-06-02 18:00:00-07:00,TH_NP15_GEN-APND,22.20606
2024-06-02 18:00:00-07:00,TH_SP15_GEN-APND,20.57685
2024-06-02 18:00:00-07:00,TH_ZP26_GEN-APND,19.92935
2024-06-02 19:00:00-07:00,TH_NP15_GEN-APND,35.54692
2024-06-02 19:00:00-07:00,TH_SP15_GEN-APND,35.83958
2024-06-02 19:00:00-07:00,TH_ZP26_GEN-APND,35.52194
2024-06-02 20:00:00-07:00,TH_NP15_GEN-APND,45.0241
2024-06-02 20:00:00-07:00,TH_SP15_GEN-APND,44.67
2024-06-02 20:00:00-07:00,TH_ZP26_GEN-APND,45.25495
2024-06-02 21:00:00-07:00,TH_NP15_GEN-APND,37.77917
2024-06-02 21:00:00-07:00,TH_SP15_GEN-APND,38.52931
2024-06-02 21:00:00-07:00,TH_ZP26_GEN-APND,38.46785
2024-06-02 22:00:00-07:00,TH_NP15_GEN-APND,27.31451
2024-06-02 22:00:00-07:00,TH_SP15_GEN-APND,27.79009
2024-06-02 22:00:00-07:00,TH_ZP26_GEN-APND,27.28489
2024-06-02 23:00:00-07:00,TH_NP15_GEN-APND,26.52876
2024-06-02 23:00:00-07:00,TH_SP15_GEN-APND,27.19289
2024-06-02 23:00:00-07:00,TH_ZP26_GEN-APND,26.98853
2024-06-03 00:00:00-07:00,TH_NP15_GEN-APND,29.50536
2024-06-03 00:00:00-07:00,TH_SP15_GEN-APND,30.37054
2024-06-03 00:00:00-07:00,TH_ZP26_GEN-APND,30.12389
2024-06-03 01:00:00-07:00,TH_NP15_GEN-APND,27.33351
2024-06-03 01:00:00-07:00,TH_SP15_GEN-APND,27.94821
2024-06-03 01:00:00-07:00,TH_ZP26_GEN-APND,27.69168
2024-06-03 02:00:00-07:00,TH_NP15_GEN-APND,28.49819
2024-06-03 02:00:00-07:00,TH_SP15_GEN-APND,29.12
2024-06-03 02:00:00-07:00,TH_ZP26_GEN-APND,28.94814
2024-06-03 03:00:00-07:00,TH_NP15_GEN-APND,25.78253
2024-06-03 03:00:00-07:00,TH_SP15_GEN-APND,26.61019
2024-06-03 03:00:00-07:00,TH_ZP26_GEN-APND,26.36982
2024-06-03 04:00:00-07:00,TH_NP15_GEN-APND,29.74816
2024-06-03 04:00:00-07:00,TH_SP15_GEN-APND,30.68037
2024-06-03 04:00:00-07:00,TH_ZP26_GEN-APND,30.41671
2024-06-03 05:00:00-07:00,TH_NP15_GEN-APND,33.44543
2024-06-03 05:00:00-07:00,TH_SP15_GEN-APND,33.90923
2024-06-03 05:00:00-07:00,TH_ZP26_GEN-APND,33.59885
2024-06-03 06:00:00-07:00,TH_NP15_GEN-APND,23.57578
2024-06-03 06:00:00-07:00,TH_SP15_GEN-APND,21.41622
2024-06-03 06:00:00-07:00,TH_ZP26_GEN-APND,21.80176
2024-06-03 07:00:00-07:00,TH_NP15_GEN-APND,12.35065
2024-06-03 07:00:00-07:00,TH_SP15_GEN-APND,0.62707
2024-06-03 07:00:00-07:00,TH_ZP26_GEN-APND,-1.00456
2024-06-03 08:00:00-07:00,TH_NP15_GEN-APND,11.07393
2024-06-03 08:00:00-07:00,TH_SP15_GEN-APND,-2.72237
2024-06-03 08:00:00-07:00,TH_ZP26_GEN-APND,-6.51917
2024-06-03 09:00:00-07:00,TH_NP15_GEN-APND,7.81263
2024-06-03 09:00:00-07:00,TH_SP15_GEN-APND,-8.07416
2024-06-03 09:00:00-07:00,TH_ZP26_GEN-APND,-12.35106
2024-06-03 10:00:00-07:00,TH_NP15_GEN-APND,6.76341
2024-06-03 10:00:00-07:00,TH_SP15_GEN-APND,-8.38113
2024-06-03 10:00:00-07:00,TH_ZP26_GEN-APND,-12.35973
2024-06-03 11:00:00-07:00,TH_NP15_GEN-APND,3.89509
2024-06-03 11:00:00-07:00,TH_SP15_GEN-APND,-14.63133
2024-06-03 11:00:00-07:00,TH_ZP26_GEN-APND,-19.48122
2024-06-03 12:00:00-07:00,TH_NP15_GEN-APND,2.32765
2024-06-03 12:00:00-07:00,TH_SP15_GEN-APND,-16.86902
2024-06-03 12:00:00-07:00,TH_ZP26_GEN-APND,-20.73959
2024-06-03 13:00:00-07:00,TH_NP15_GEN-APND,2.31184
2024-06-03 13:00:00-07:00,TH_SP15_GEN-APND,-13.36274
2024-06-03 13:00:00-07:00,TH_ZP26_GEN-APND,-17.10949
2024-06-03 14:00:00-07:00,TH_NP15_GEN-APND,-0.59312
2024-06-03 14:00:00-07:00,TH_SP15_GEN-APND,-11.54698
2024-06-03 14:00:00-07:00,TH_ZP26_GEN-APND,-15.13352
2024-06-03 15:00:00-07:00,TH_NP15_GEN-APND,7.81826
2024-06-03 15:00:00-07:00,TH_SP15_GEN-APND,-7.46851
2024-06-03 15:00:00-07:00,TH_ZP26_GEN-APND,-10.04458
2024-06-03 16:00:00-07:00,TH_NP15_GEN-APND,16.4981
2024-06-03 16:00:00-07:00,TH_SP15_GEN-APND,-5.15466
2024-06-03 16:00:00-07:00,TH_ZP26_GEN-APND,-7.42565
2024-06-03 17:00:00-07:00,TH_NP15_GEN-APND,18.19517
2024-06-03 17:00:00-07:00,TH_SP15_GEN-APND,11.54635
2024-06-03 17:00:00-07:00,TH_ZP26_GEN-APND,11.16639
2024-06-03 18:00:00-07:00,TH_NP15_GEN-APND,33.10276
2024-06-03 18:00:00-07:00,TH_SP15_GEN-APND,30.97301
2024-06-03 18:00:00-07:00,TH_ZP26_GEN-APND,30.76085
2024-06-03 19:00:00-07:00,TH_NP15_GEN-APND,46.41484
2024-06-03 19:00:00-07:00,TH_SP15_GEN-APND,46.3847
2024-06-03 19:00:00-07:00,TH_ZP26_GEN-APND,45.74553
2024-06-03 20:00:00-07:00,TH_NP15_GEN-APND,44.77819
2024-06-03 20:00:00-07:00,TH_SP15_GEN-APND,44.93526
2024-06-03 20:00:00-07:00,TH_ZP26_GEN-APND,44.51971
2024-06-03 21:00:00-07:00,TH_NP15_GEN-APND,33.5652
2024-06-03 21:00:00-07:00,TH_SP15_GEN-APND,33.96783
2024-06-03 21:00:00-07:00,TH_ZP26_GEN-APND,33.43181
2024-06-03 22:00:00-07:00,TH_NP15_GEN-APND,31.30116
2024-06-03 22:00:00-07:00,TH_SP15_GEN-APND,31.8298
2024-06-03 22:00:00-07:00,TH_ZP26_GEN-APND,31.70289
2024-06-03 23:00:00-07:00,TH_NP15_GEN-APND,30.5235
2024-06-03 23:00:00-07:00,TH_SP15_GEN-APND,31.1678
2024-06-03 23:00:00-07:00,TH_ZP26_GEN-APND,31.17503
2024-06-04 00:00:00-07:00,TH_NP15_GEN-APND,24.13108
2024-06-04 00:00:00-07:00,TH_SP15_GEN-APND,26.10327
2024-06-04 00:00:00-07:00,TH_ZP26_GEN-APND,25.74214
2024-06-04 01:00:00-07:00,TH_NP15_GEN-APND,24.5179
2024-06-04 01:00:00-07:00,TH_SP15_GEN-APND,25.04754
2024-06-04 01:00:00-07:00,TH_ZP26_GEN-APND,24.75604
2024-06-04 02:00:00-07:00,TH_NP15_GEN-APND,24.24668
2024-06-04 02:00:00-07:00,TH_SP15_GEN-APND,24.90265
2024-06-04 02:00:00-07:00,TH_ZP26_GEN-APND,24.65172
2024-06-04 03:00:00-07:00,TH_NP15_GEN-APND,24.52747
2024-06-04 03:00:00-07:00,TH_SP15_GEN-APND,25.10455
2024-06-04 03:00:00-07:00,TH_ZP26_GEN-APND,24.93237
2024-06-04 04:00:00-07:00,TH_NP15_GEN-APND,24.48708
2024-06-04 04:00:00-07:00,TH_SP15_GEN-APND,25.14607
2024-06-04 04:00:00-07:00,TH_ZP26_GEN-APND,24.93294
2024-06-04 05:00:00-07:00,TH_NP15_GEN-APND,27.78804
2024-06-04 05:00:00-07:00,TH_SP15_GEN-APND,28.29197
2024-06-04 05:00:00-07:00,TH_ZP26_GEN-APND,28.04808
2024-06-04 06:00:00-07:00,TH_NP15_GEN-APND,26.41234
2024-06-04 06:00:00-07:00,TH_SP15_GEN-APND,27.33572
2024-06-04 06:00:00-07:00,TH_ZP26_GEN-APND,27.02239
2024-06-04 07:00:00-07:00,TH_NP15_GEN-APND,19.57962
2024-06-04 07:00:00-07:00,TH_SP15_GEN-APND,17.23826
2024-06-04 07:00:00-07:00,TH_ZP26_GEN-APND,15.67981
2024-06-04 08:00:00-07:00,TH_NP15_GEN-APND,14.59324
2024-06-04 08:00:00-07:00,TH_SP15_GEN-APND,8.74698
2024-06-04 08:00:00-07:00,TH_ZP26_GEN-APND,7.55033
2024-06-04 09:00:00-07:00,TH_NP15_GEN-APND,11.52431
2024-06-04 09:00:00-07:00,TH_SP15_GEN-APND,4.92594
2024-06-04 09:00:00-07:00,TH_ZP26_GEN-APND,1.98908
2024-06-04 10:00:00-07:00,TH_NP15_GEN-APND,8.67666
2024-06-04 10:00:00-07:00,TH_SP15_GEN-APND,3.78768
2024-06-04 10:00:00-07:00,TH_ZP26_GEN-APND,0.57613
2024-06-04 11:00:00-07:00,TH_NP15_GEN-APND,8.03083
2024-06-04 11:00:00-07:00,TH_SP15_GEN-APND,-1.39526
2024-06-04 11:00:00-07:00,TH_ZP26_GEN-APND,-3.96672
2024-06-04 12:00:00-07:00,TH_NP15_GEN-APND,4.9
2024-06-04 12:00:00-07:00,TH_SP15_GEN-APND,-9.58295
2024-06-04 12:00:00-07:00,TH_ZP26_GEN-APND,-13.15833
2024-06-04 13:00:00-07:00,TH_NP15_GEN-APND,4.54825
2024-06-04 13:00:00-07:00,TH_SP15_GEN-APND,-11.02
2024-06-04 13:00:00-07:00,TH_ZP26_GEN-APND,-14.75249
2024-06-04 14:00:00-07:00,TH_NP15_GEN-APND,8.55691
2024-06-04 14:00:00-07:00,TH_SP15_GEN-APND,-6.02475
2024-06-04 14:00:00-07:00,TH_ZP26_GEN-APND,-10.30193
2024-06-04 15:00:00-07:00,TH_NP15_GEN-APND,14.48896
2024-06-04 15:00:00-07:00,TH_SP15_GEN-APND,-3.47231
2024-06-04 15:00:00-07:00,TH_ZP26_GEN-APND,-8.46878
2024-06-04 16:00:00-07:00,TH_NP15_GEN-APND,18.22468
2024-06-04 16:00:00-07:00,TH_SP15_GEN-APND,2.51383
2024-06-04 16:00:00-07:00,TH_ZP26_GEN-APND,-3.08648
2024-06-04 17:00:00-07:00,TH_NP15_GEN-APND,29.12106
2024-06-04 17:00:00-07:00,TH_SP15_GEN-APND,15.0537
2024-06-04 17:00:00-07:00,TH_ZP26_GEN-APND,9.46929
2024-06-04 18:00:00-07:00,TH_NP15_GEN-APND,39.23907
2024-06-04 18:00:00-07:00,TH_SP15_GEN-APND,31.34602
2024-06-04 18:00:00-07:00,TH_ZP26_GEN-APND,28.32517
2024-06-04 19:00:00-07:00,TH_NP15_GEN-APND,57.0
2024-06-04 19:00:00-07:00,TH_SP15_GEN-APND,50.59774
2024-06-04 19:00:00-07:00,TH_ZP26_GEN-APND,48.61603
2024-06-04 20:00:00-07:00,TH_NP15_GEN-APND,55.60447
2024-06-04 20:00:00-07:00,TH_SP15_GEN-APND,50.79344
2024-06-04 20:00:00-07:00,TH_ZP26_GEN-APND,48.4166
2024-06-04 21:00:00-07:00,TH_NP15_GEN-APND,46.70128
2024-06-04 21:00:00-07:00,TH_SP15_GEN-APND,46.8363
2024-06-04 21:00:00-07:00,TH_ZP26_GEN-APND,45.59029
2024-06-04 22:00:00-07:00,TH_NP15_GEN-APND,33.24686
2024-06-04 22:00:00-07:00,TH_SP15_GEN-APND,33.54886
2024-06-04 22:00:00-07:00,TH_ZP26_GEN-APND,32.65602
2024-06-04 23:00:00-07:00,TH_NP15_GEN-APND,31.71296
2024-06-04 23:00:00-07:00,TH_SP15_GEN-APND,32.4859
2024-06-04 23:00:00-07:00,TH_ZP26_GEN-APND,31.83187
2024-06-05 00:00:00-07:00,TH_NP15_GEN-APND,29.07428
2024-06-05 00:00:00-07:00,TH_SP15_GEN-APND,31.50244
2024-06-05 00:00:00-07:00,TH_ZP26_GEN-APND,30.93869
2024-06-05 01:00:00-07:00,TH_NP15_GEN-APND,28.03192
2024-06-05 01:00:00-07:00,TH_SP15_GEN-APND,31.20425
2024-06-05 01:00:00-07:00,TH_ZP26_GEN-APND,30.77846
2024-06-05 02:00:00-07:00,TH_NP15_GEN-APND,28.65943
2024-06-05 02:00:00-07:00,TH_SP15_GEN-APND,30.99385
2024-06-05 02:00:00-07:00,TH_ZP26_GEN-APND,30.78408
2024-06-05 03:00:00-07:00,TH_NP15_GEN-APND,28.23385
2024-06-05 03:00:00-07:00,TH_SP15_GEN-APND,30.1064
2024-06-05 03:00:00-07:00,TH_ZP26_GEN-APND,29.96613
2024-06-05 04:00:00-07:00,TH_NP15_GEN-APND,29.25849
2024-06-05 04:00:00-07:00,TH_SP15_GEN-APND,31.2014
2024-06-05 04:00:00-07:00,TH_ZP26_GEN-APND,30.93442
2024-06-05 05:00:00-07:00,TH_NP15_GEN-APND,31.36645
2024-06-05 05:00:00-07:00,TH_SP15_GEN-APND,33.8762
2024-06-05 05:00:00-07:00,TH_ZP26_GEN-APND,33.57601
2024-06-05 06:00:00-07:00,TH_NP15_GEN-APND,27.91588
2024-06-05 06:00:00-07:00,TH_SP15_GEN-APND,29.57416
2024-06-05 06:00:00-07:00,TH_ZP26_GEN-APND,29.37621
2024-06-05 07:00:00-07:00,TH_NP15_GEN-APND,17.38532
2024-06-05 07:00:00-07:00,TH_SP15_GEN-APND,15.1
2024-06-05 07:00:00-07:00,TH_ZP26_GEN-APND,13.84394
2024-06-05 08:00:00-07:00,TH_NP15_GEN-APND,15.0
2024-06-05 08:00:00-07:00,TH_SP15_GEN-APND,12.16286
2024-06-05 08:00:00-07:00,TH_ZP26_GEN-APND,10.07
2024-06-05 09:00:00-07:00,TH_NP15_GEN-APND,17.13522
2024-06-05 09:00:00-07:00,TH_SP15_GEN-APND,9.77529
2024-06-05 09:00:00-07:00,TH_ZP26_GEN-APND,7.93104
2024-06-05 10:00:00-07:00,TH_NP15_GEN-APND,14.67088
2024-06-05 10:00:00-07:00,TH_SP15_GEN-APND,8.6956
2024-06-05 10:00:00-07:00,TH_ZP26_GEN-APND,6.30742
2024-06-05 11:00:00-07:00,TH_NP15_GEN-APND,10.12095
2024-06-05 11:00:00-07:00,TH_SP15_GEN-APND,4.81977
2024-06-05 11:00:00-07:00,TH_ZP26_GEN-APND,1.64719
2024-06-05 12:00:00-07:00,TH_NP15_GEN-APND,10.28
2024-06-05 12:00:00-07:00,TH_SP15_GEN-APND,2.37065
2024-06-05 12:00:00-07:00,TH_ZP26_GEN-APND,-1.42658
2024-06-05 13:00:00-07:00,TH_NP15_GEN-APND,8.66
2024-06-05 13:00:00-07:00,TH_SP15_GEN-APND,-6.08651
2024-06-05 13:00:00-07:00,TH_ZP26_GEN-APND,-11.06766
2024-06-05 14:00:00-07:00,TH_NP15_GEN-APND,9.35066
2024-06-05 14:00:00-07:00,TH_SP15_GEN-APND,-8.50965
2024-06-05 14:00:00-07:00,TH_ZP26_GEN-APND,-12.4357
2024-06-05 15:00:00-07:00,TH_NP15_GEN-APND,16.01905
2024-06-05 15:00:00-07:00,TH_SP15_GEN-APND,-2.91396
2024-06-05 15:00:00-07:00,TH_ZP26_GEN-APND,-7.47789
2024-06-05 16:00:00-07:00,TH_NP15_GEN-APND,9.38757
2024-06-05 16:00:00-07:00,TH_SP15_GEN-APND,-21.44707
2024-06-05 16:00:00-07:00,TH_ZP26_GEN-APND,-27.0355
2024-06-05 17:00:00-07:00,TH_NP15_GEN-APND,23.31
2024-06-05 17:00:00-07:00,TH_SP15_GEN-APND,4.75651
2024-06-05 17:00:00-07:00,TH_ZP26_GEN-APND,2.07999
2024-06-05 18:00:00-07:00,TH_NP15_GEN-APND,45.24402
2024-06-05 18:00:00-07:00,TH_SP15_GEN-APND,30.19215
2024-06-05 18:00:00-07:00,TH_ZP26_GEN-APND,27.75018
2024-06-05 19:00:00-07:00,TH_NP15_GEN-APND,69.41538
2024-06-05 19:00:00-07:00,TH_SP15_GEN-APND,53.42863
2024-06-05 19:00:00-07:00,TH_ZP26_GEN-APND,50.18792
2024-06-05 20:00:00-07:00,TH_NP15_GEN-APND,60.281
2024-06-05 20:00:00-07:00,TH_SP15_GEN-APND,56.59647
2024-06-05 20:00:00-07:00,TH_ZP26_GEN-APND,54.34057
2024-06-05 21:00:00-07:00,TH_NP15_GEN-APND,44.75635
2024-06-05 21:00:00-07:00,TH_SP15_GEN-APND,47.52907
2024-06-05 21:00:00-07:00,TH_ZP26_GEN-APND,44.97695
2024-06-05 22:00:00-07:00,TH_NP15_GEN-APND,31.69175
2024-06-05 22:00:00-07:00,TH_SP15_GEN-APND,34.3669
2024-06-05 22:00:00-07:00,TH_ZP26_GEN-APND,33.05727
2024-06-05 23:00:00-07:00,TH_NP15_GEN-APND,32.58769
2024-06-05 23:00:00-07:00,TH_SP15_GEN-APND,34.67605
2024-06-05 23:00:00-07:00,TH_ZP26_GEN-APND,33.43093
2024-06-06 00:00:00-07:00,TH_NP15_GEN-APND,29.6288
2024-06-06 00:00:00-07:00,TH_SP15_GEN-APND,29.65892
2024-06-06 00:00:00-07:00,TH_ZP26_GEN-APND,29.04971
2024-06-06 01:00:00-07:00,TH_NP15_GEN-APND,30.04282
2024-06-06 01:00:00-07:00,TH_SP15_GEN-APND,29.44708
2024-06-06 01:00:00-07:00,TH_ZP26_GEN-APND,29.49292
2024-06-06 02:00:00-07:00,TH_NP15_GEN-APND,29.04122
2024-06-06 02:00:00-07:00,TH_SP15_GEN-APND,29.2985
2024-06-06 02:00:00-07:00,TH_ZP26_GEN-APND,29.13528
2024-06-06 03:00:00-07:00,TH_NP15_GEN-APND,27.80927
2024-06-06 03:00:00-07:00,TH_SP15_GEN-APND,29.15781
2024-06-06 03:00:00-07:00,TH_ZP26_GEN-APND,28.87797
2024-06-06 04:00:00-07:00,TH_NP15_GEN-APND,28.14413
2024-06-06 04:00:00-07:00,TH_SP15_GEN-APND,29.65899
2024-06-06 04:00:00-07:00,TH_ZP26_GEN-APND,29.28462
2024-06-06 05:00:00-07:00,TH_NP15_GEN-APND,31.4209
