time,hub,price
2016-06-01 00:00:00+00:00,BAYSHOR,39.4391
2016-06-01 01:00:00+00:00,BAYSHOR,40.462140000000005
2016-06-01 02:00:00+00:00,BAYSHOR,42.45745
2016-06-01 03:00:00+00:00,BAYSHOR,43.69572
2016-06-01 04:00:00+00:00,BAYSHOR,31.92311
2016-06-01 05:00:00+00:00,BAYSHOR,24.10295
2016-06-01 06:00:00+00:00,BAYSHOR,21.10436
2016-06-01 08:00:00+00:00,BAYSHOR,19.56409
2016-06-01 09:00:00+00:00,BAYSHOR,18.58758
2016-06-01 10:00:00+00:00,BAYSHOR,19.24476
2016-06-01 11:00:00+00:00,BAYSHOR,21.1334
2016-06-01 12:00:00+00:00,BAYSHOR,20.32721
2016-06-01 13:00:00+00:00,BAYSHOR,25.262320000000003
2016-06-01 14:00:00+00:00,BAYSHOR,25.07778
2016-06-01 15:00:00+00:00,BAYSHOR,23.24355
2016-06-01 16:00:00+00:00,BAYSHOR,23.98744
2016-06-01 17:00:00+00:00,BAYSHOR,25.69974
2016-06-01 18:00:00+00:00,BAYSHOR,26.532020000000003
2016-06-01 19:00:00+00:00,BAYSHOR,36.57952
2016-06-01 21:00:00+00:00,BAYSHOR,39.21807
2016-06-01 22:00:00+00:00,BAYSHOR,43.86345
2016-06-01 23:00:00+00:00,BAYSHOR,45.16759
2016-06-02 00:00:00+00:00,BAYSHOR,45.77143
2016-06-02 01:00:00+00:00,BAYSHOR,48.8115
2016-06-02 02:00:00+00:00,BAYSHOR,46.64178
2016-06-02 03:00:00+00:00,BAYSHOR,43.68411
2016-06-02 04:00:00+00:00,BAYSHOR,32.48573
2016-06-02 05:00:00+00:00,BAYSHOR,25.81817
2016-06-02 06:00:00+00:00,BAYSHOR,21.85577
2016-06-02 07:00:00+00:00,BAYSHOR,19.89382
2016-06-02 08:00:00+00:00,BAYSHOR,21.30141
2016-06-02 09:00:00+00:00,BAYSHOR,17.19677
2016-06-02 10:00:00+00:00,BAYSHOR,16.78968
2016-06-02 11:00:00+00:00,BAYSHOR,20.24753
2016-06-02 12:00:00+00:00,BAYSHOR,20.42094
2016-06-02 13:00:00+00:00,BAYSHOR,25.54077
2016-06-02 14:00:00+00:00,BAYSHOR,24.97311
