date,temp_max_c
2021-06-01,41.9
2021-06-02,41.6
2021-06-03,40.6
2021-06-04,39.5
2021-06-05,38.4
2021-06-06,36.8
2021-06-07,30.0
2021-06-08,27.5
2021-06-09,26.5
2021-06-10,27.5
2021-06-11,30.7
2021-06-12,34.6
2021-06-13,36.4
2021-06-14,35.2
2021-06-15,36.0
2021-06-16,39.7
2021-06-17,43.3
2021-06-18,45.6
2021-06-19,45.3
2021-06-20,44.0
2021-06-21,40.3
2021-06-22,38.1
2021-06-23,36.3
2021-06-24,34.8
2021-06-25,36.6
2021-06-26,40.0
2021-06-27,43.5
2021-06-28,40.4
2021-06-29,41.3
2021-06-30,42.0
2021-07-01,39.2
2021-07-02,40.0
2021-07-03,39.9
2021-07-04,39.0
2021-07-05,39.0
2021-07-06,38.8
2021-07-07,39.6
2021-07-08,43.3
2021-07-09,46.1
2021-07-10,46.5
2021-07-11,47.2
2021-07-12,44.7
2021-07-13,42.3
2021-07-14,39.6
2021-07-15,38.4
2021-07-16,38.6
2021-07-17,40.4
2021-07-18,40.9
2021-07-19,41.7
2021-07-20,41.6
2021-07-21,40.7
2021-07-22,41.6
2021-07-23,40.6
2021-07-24,41.3
2021-07-25,40.6
2021-07-26,39.3
2021-07-27,40.8
2021-07-28,41.6
2021-07-29,42.3
2021-07-30,42.3
2021-07-31,40.8
2021-08-01,41.2
2021-08-02,40.1
2021-08-03,42.0
2021-08-04,42.7
2021-08-05,38.8
2021-08-06,38.6
2021-08-07,40.3
2021-08-08,40.5
2021-08-09,39.9
2021-08-10,41.3
2021-08-11,42.7
2021-08-12,41.8
2021-08-13,42.0
2021-08-14,42.1
2021-08-15,42.6
2021-08-16,43.5
2021-08-17,40.3
2021-08-18,33.4
2021-08-19,33.8
2021-08-20,35.9
2021-08-21,35.5
2021-08-22,34.3
2021-08-23,35.5
2021-08-24,35.6
2021-08-25,36.8
2021-08-26,37.7
2021-08-27,39.1
2021-08-28,41.4
2021-08-29,42.8
2021-08-30,43.3
2021-08-31,40.3
2021-09-01,34.7
2021-09-02,33.1
2021-09-03,34.5
2021-09-04,37.2
2021-09-05,39.4
2021-09-06,41.5
2021-09-07,42.7
2021-09-08,41.8
2021-09-09,41.7
2021-09-10,37.7
2021-09-11,36.8
2021-09-12,37.8
2021-09-13,37.7
2021-09-14,38.3
2021-09-15,37.5
2021-09-16,34.4
2021-09-17,34.1
2021-09-18,31.5
2021-09-19,29.6
2021-09-20,32.6
2021-09-21,38.5
2021-09-22,38.1
2021-09-23,36.9
2021-09-24,37.9
2021-09-25,36.3
2021-09-26,33.7
2021-09-27,31.3
2021-09-28,26.5
2021-09-29,28.0
2021-09-30,31.6
