station_id,date,value
3LK,1980-01-01,15.8
3LK,1980-02-01,15.8
3LK,1980-03-01,33.0
3LK,1980-04-01,41.6
3LK,1980-05-01,35.3
3LK,1981-01-01,8.2
3LK,1981-02-01,18.8
3LK,1981-03-01,21.3
3LK,1981-04-01,29.5
3LK,1981-05-01,17.0
3LK,1982-01-01,12.6
3LK,1982-02-01,16.2
3LK,1982-03-01,15.3
3LK,1982-04-01,39.4
3LK,1982-05-01,44.3
3LK,1983-01-01,19.5
3LK,1983-02-01,34.7
3LK,1983-03-01,66.0
3LK,1983-04-01,83.4
3LK,1983-05-01,83.3
3LK,1983-06-01,72.5
3LK,1984-01-01,24.4
3LK,1984-02-01,21.4
3LK,1984-03-01,30.0
3LK,1984-04-01,32.0
3LK,1984-05-01,27.6
3LK,1985-01-01,19.8
3LK,1985-02-01,21.9
3LK,1985-03-01,24.7
3LK,1985-04-01,35.7
3LK,1985-05-01,18.7
3LK,1986-01-01,14.2
3LK,1986-02-01,25.5
3LK,1986-03-01,39.2
3LK,1986-04-01,39.3
3LK,1986-05-01,24.8
3LK,1987-01-01,3.9
3LK,1987-02-01,14.1
3LK,1987-03-01,18.1
3LK,1987-04-01,21.7
3LK,1988-01-01,13.9
3LK,1988-02-01,20.0
3LK,1988-03-01,22.2
3LK,1988-04-01,17.1
3LK,1988-05-01,10.6
3LK,1989-01-01,15.4
3LK,1989-02-01,16.8
3LK,1989-03-01,20.4
3LK,1989-04-01,33.6
3LK,1989-05-01,14.2
ABN,1980-01-01,14.0
ABN,1980-02-01,27.0
ABN,1980-03-01,39.8
ABN,1980-04-01,43.0
ABN,1980-05-01,35.7
ABN,1981-01-01,4.5
ABN,1981-02-01,14.7
ABN,1981-03-01,18.5
ABN,1981-04-01,25.0
ABN,1981-05-01,10.5
ABN,1982-01-01,20.1
ABN,1982-02-01,31.3
ABN,1982-03-01,30.6
ABN,1982-04-01,51.0
ABN,1982-05-01,46.3
ABN,1983-01-01,25.5
ABN,1983-02-01,36.3
ABN,1983-03-01,48.0
ABN,1983-04-01,71.0
ABN,1983-05-01,73.8
ABN,1983-06-01,53.5
ABN,1984-01-01,30.5
ABN,1984-02-01,23.7
ABN,1984-03-01,39.8
ABN,1984-04-01,38.0
ABN,1984-05-01,36.2
ABN,1985-01-01,18.0
ABN,1985-02-01,18.0
ABN,1985-03-01,22.8
ABN,1985-04-01,33.7
ABN,1985-05-01,16.5
ABN,1986-01-01,17.5
ABN,1986-02-01,19.8
ABN,1986-03-01,43.7
ABN,1986-04-01,45.3
ABN,1986-05-01,28.2
ABN,1987-01-01,1.8
ABN,1987-02-01,9.7
ABN,1987-03-01,17.3
ABN,1987-04-01,23.2
ABN,1987-05-01,0.5
ABN,1988-01-01,9.3
ABN,1988-02-01,17.5
ABN,1988-03-01,16.3
ABN,1988-04-01,8.8
ABN,1988-05-01,0.0
ABN,1989-01-01,15.5
ABN,1989-02-01,19.7
ABN,1989-03-01,26.3
ABN,1989-04-01,33.5
ABN,1989-05-01,18.2
ABY,1980-01-01,5.5
ABY,1980-02-01,5.0
ABY,1980-03-01,9.4
ABY,1980-04-01,10.2
ABY,1980-05-01,0.0
ABY,1981-01-01,2.7
ABY,1981-02-01,7.4
ABY,1981-03-01,7.8
ABY,1981-04-01,6.9
ABY,1981-05-01,0.0
ABY,1982-01-01,0.6
ABY,1982-02-01,7.7
ABY,1982-03-01,4.1
ABY,1982-04-01,4.9
ABY,1982-05-01,3.8
ABY,1983-01-01,9.8
ABY,1983-02-01,14.2
ABY,1983-03-01,23.4
ABY,1983-04-01,23.0
ABY,1983-05-01,19.4
ABY,1983-06-01,0.0
ABY,1984-01-01,6.3
ABY,1984-02-01,6.7
ABY,1984-03-01,10.1
ABY,1984-04-01,5.2
ABY,1984-05-01,0.0
ABY,1985-01-01,4.5
ABY,1985-02-01,5.6
ABY,1985-03-01,7.9
ABY,1985-04-01,8.3
ABY,1985-05-01,0.0
ABY,1986-01-01,4.2
ABY,1986-02-01,4.6
ABY,1986-03-01,10.8
ABY,1986-04-01,4.8
ABY,1986-05-01,0.0
ABY,1987-01-01,0.5
ABY,1987-02-01,3.9
ABY,1987-03-01,6.4
ABY,1987-04-01,4.7
ABY,1987-05-01,0.0
ABY,1988-01-01,2.8
ABY,1988-02-01,7.1
ABY,1988-03-01,6.6
ABY,1988-04-01,0.0
ABY,1988-05-01,0.0
ABY,1989-01-01,5.8
ABY,1989-02-01,8.5
ABY,1989-03-01,10.8
ABY,1989-04-01,7.7
ABY,1989-05-01,0.0
ADI,1980-02-01,8.4
ADI,1980-03-01,11.9
ADI,1980-04-01,17.8
ADI,1980-05-01,9.6
ADI,1981-02-01,0.0
ADI,1981-03-01,3.9
ADI,1981-04-01,3.2
ADI,1981-05-01,0.0
ADI,1982-02-01,9.9
ADI,1982-03-01,8.8
ADI,1982-04-01,11.4
ADI,1982-05-01,11.1
ADI,1983-02-01,13.1
ADI,1983-03-01,18.8
ADI,1983-04-01,23.6
ADI,1983-05-01,23.9
ADI,1984-02-01,12.0
ADI,1984-03-01,17.0
ADI,1984-04-01,13.3
ADI,1984-05-01,10.3
ADI,1985-02-01,9.0
ADI,1985-03-01,13.8
ADI,1985-04-01,17.4
ADI,1985-05-01,0.8
ADI,1986-02-01,9.0
ADI,1986-03-01,13.7
ADI,1986-04-01,14.1
ADI,1986-05-01,2.5
ADI,1987-02-01,4.2
ADI,1987-03-01,5.6
ADI,1987-04-01,9.7
ADI,1987-05-01,0.0
ADI,1988-02-01,6.4
ADI,1988-03-01,7.6
ADI,1988-04-01,0.9
ADI,1988-05-01,0.0
ADI,1989-02-01,13.0
ADI,1989-03-01,15.0
ADI,1989-04-01,14.0
ADI,1989-05-01,0.0
AGP,1980-02-01,25.3
AGP,1980-03-01,45.3
AGP,1980-04-01,51.3
AGP,1981-03-01,18.7
AGP,1981-04-01,26.9
AGP,1982-03-01,33.4
AGP,1982-04-01,50.4
AGP,1983-04-01,58.5
AGP,1983-05-01,62.7
AGP,1984-02-01,26.6
AGP,1984-03-01,31.3
AGP,1984-04-01,31.6
AGP,1985-02-01,15.9
AGP,1985-03-01,19.9
AGP,1985-04-01,26.8
AGP,1986-02-01,22.5
AGP,1986-03-01,48.0
AGP,1986-04-01,53.0
AGP,1987-02-01,5.7
AGP,1987-03-01,11.7
AGP,1987-04-01,17.9
AGP,1988-02-01,17.8
AGP,1988-03-01,19.0
AGP,1988-04-01,13.8
AGP,1989-02-01,13.2
AGP,1989-03-01,16.1
AGP,1989-04-01,22.2
ANR,1980-01-01,2.8
ANR,1980-02-01,2.7
ANR,1980-03-01,3.8
ANR,1980-04-01,3.9
ANR,1980-05-01,0.0
ANR,1981-01-01,0.5
ANR,1981-02-01,1.0
ANR,1981-03-01,2.0
ANR,1981-04-01,0.0
ANR,1981-05-01,0.0
ANR,1982-01-01,0.0
ANR,1982-02-01,3.7
ANR,1982-03-01,0.7
ANR,1982-04-01,0.3
ANR,1983-01-01,6.0
ANR,1983-02-01,9.5
ANR,1983-03-01,11.9
ANR,1983-04-01,12.5
ANR,1983-05-01,5.1
ANR,1983-06-01,0.0
ANR,1984-01-01,4.0
ANR,1984-02-01,4.1
ANR,1984-03-01,6.6
ANR,1984-04-01,0.6
ANR,1984-05-01,0.0
ANR,1985-01-01,2.7
ANR,1985-02-01,3.6
ANR,1985-03-01,5.6
ANR,1985-04-01,7.6
ANR,1985-05-01,0.0
ANR,1986-01-01,4.0
ANR,1986-02-01,4.0
ANR,1986-03-01,7.6
ANR,1986-04-01,0.0
ANR,1986-05-01,0.0
ANR,1987-01-01,0.3
ANR,1987-02-01,1.6
ANR,1987-03-01,3.1
ANR,1987-04-01,0.8
ANR,1987-05-01,0.0
ANR,1988-01-01,1.4
ANR,1988-02-01,3.9
ANR,1988-03-01,3.3
ANR,1988-04-01,0.0
ANR,1988-05-01,0.0
ANR,1989-01-01,3.0
ANR,1989-02-01,4.5
ANR,1989-03-01,5.9
ANR,1989-04-01,0.0
ANR,1989-05-01,0.0
APH,1980-01-01,15.6
APH,1980-02-01,26.5
APH,1980-03-01,40.4
APH,1980-04-01,43.0
APH,1980-05-01,30.0
APH,1981-01-01,2.5
APH,1981-02-01,12.2
APH,1981-03-01,12.9
APH,1981-04-01,21.1
APH,1981-05-01,4.1
APH,1982-02-01,24.8
APH,1982-03-01,21.7
APH,1982-04-01,45.4
APH,1982-05-01,36.2
APH,1983-01-01,26.3
APH,1983-02-01,41.9
APH,1983-03-01,64.4
APH,1983-04-01,80.7
APH,1983-05-01,84.1
APH,1983-06-01,60.3
APH,1984-01-01,26.7
APH,1984-02-01,24.3
APH,1984-03-01,31.6
APH,1984-04-01,33.4
APH,1984-05-01,25.3
APH,1985-01-01,15.8
APH,1985-02-01,17.7
APH,1985-03-01,21.8
APH,1985-04-01,28.8
APH,1985-05-01,10.7
APH,1986-01-01,16.7
APH,1986-02-01,18.3
APH,1986-03-01,39.9
APH,1986-04-01,40.7
APH,1986-05-01,21.5
APH,1987-01-01,0.9
APH,1987-02-01,10.2
APH,1987-03-01,16.2
APH,1987-04-01,21.1
APH,1987-05-01,0.2
APH,1988-01-01,9.3
APH,1988-02-01,16.6
APH,1988-03-01,13.3
APH,1988-04-01,4.7
APH,1988-05-01,0.15
APH,1989-01-01,17.6
APH,1989-02-01,18.8
APH,1989-03-01,21.1
APH,1989-04-01,33.3
APH,1989-05-01,18.0
ASH,1980-04-01,17.8
ASH,1981-04-01,7.6
ASH,1982-04-01,22.0
ASH,1983-04-01,52.0
ASH,1984-04-01,17.6
ASH,1985-04-01,12.1
ASH,1986-04-01,8.0
